,so2Grade,coFlag,khaiValue,so2Value,coValue,pm25Flag,pm10Flag,pm10Value,o3Grade,khaiGrade,pm25Value,no2Flag,no2Grade,o3Flag,pm25Grade,so2Flag,dataTime,coGrade,no2Value,pm10Grade,o3Value
0,1,,69,0.003,0.3,,,28,2,2,10,,1,,1,,2023-04-30 13:00,1,0.005,1,0.052
1,1,,64,0.003,0.3,,,28,2,2,8,,1,,1,,2023-04-30 12:00,1,0.006,1,0.046
2,1,,63,0.003,0.2,,,28,2,2,7,,1,,1,,2023-04-30 11:00,1,0.006,1,0.045
3,1,,60,0.003,0.3,,,26,2,2,9,,1,,1,,2023-04-30 10:00,1,0.006,1,0.041
4,1,,56,0.003,0.3,,,27,2,2,8,,1,,1,,2023-04-30 09:00,1,0.009,1,0.036
5,1,,36,0.003,0.3,,,21,1,1,7,,1,,1,,2023-04-30 08:00,1,0.013,1,0.021
6,1,,25,0.003,0.4,,,11,1,1,4,,1,,1,,2023-04-30 07:00,1,0.011,1,0.014
7,1,,29,0.003,0.4,,,14,1,1,3,,1,,1,,2023-04-30 06:00,1,0.008,1,0.018
8,1,,43,0.003,0.4,,,12,1,1,4,,1,,1,,2023-04-30 05:00,1,0.006,1,0.026
9,1,,55,0.002,0.3,,,13,2,2,3,,1,,1,,2023-04-30 04:00,1,0.005,1,0.035
